"nox"	"air_temp"
"1"	25.20882	-5.2
"2"	24.67658	-5
"3"	18.44228	-5
"4"	13.45657	-5
"5"	30.54352	-4.8
"6"	17.42578	-4.8
"7"	22.54762	-4.7
"8"	26.46137	-4.7
"9"	25.89664	-4.6
"10"	154.38871	-4.5
"11"	39.8696	-4.4
"12"	21.68542	-4.4
"13"	27.83284	-4.4
"14"	19.29744	-4.3
"15"	121.28097	-4.3
"16"	53.79398	-4.1
"17"	28.51081	-4
"18"	45.8694	-3.9
"19"	25.62549	-3.8
"20"	247.10997	-3.8
"21"	47.27258	-3.5
"22"	22.9358	-3.5
"23"	30.3426	-3.4
"24"	15.32722	-3.4
"25"	28.36163	-3.3
"26"	21.45203	-3.3
"27"	21.30676	-3.3
"28"	18.15917	-3.3
"29"	28.82053	-3.3
"30"	38.84626	-3.2
"31"	66.7074	-3.2
"32"	14.1668	-3.1
"33"	23.37959	-3.1
"34"	15.49582	-3.1
"35"	40.68227	-3
"36"	28.28524	-3
"37"	54.86909	-3
"38"	22.75949	-3
"39"	19.29199	-2.9
"40"	62.41722	-2.9
"41"	14.10834	-2.8
"42"	25.7559	-2.8
"43"	13.28697	-2.7
"44"	15.60121	-2.7
"45"	28.23145	-2.7
"46"	19.11953	-2.6
"47"	32.61346	-2.6
"48"	17.91249	-2.5
"49"	10.19473	-2.5
"50"	59.32055	-2.5
"51"	34.42978	-2.5
"52"	16.60888	-2.4
"53"	17.52623	-2.4
"54"	8.11713	-2.4
"55"	19.24065	-2.4
"56"	21.30746	-2.3
"57"	17.14843	-2.3
"58"	38.63232	-2.3
"59"	25.69267	-2.3
"60"	53.22399	-2.3
"61"	17.57452	-2.2
"62"	27.99514	-2.2
"63"	4.63836	-2.1
"64"	5.89458	-2
"65"	6.37774	-2
"66"	60.16734	-2
"67"	36.6573	-2
"68"	30.16136	-2
"69"	13.6735	-1.9
"70"	22.75695	-1.9
"71"	18.54015	-1.8
"72"	50.77679	-1.8
"73"	40.22451	-1.8
"74"	9.89774	-1.7
"75"	21.63701	-1.7
"76"	53.94828	-1.6
"77"	20.22512	-1.6
"78"	28.98288	-1.6
"79"	23.04075	-1.6
"80"	10.1917	-1.5
"81"	7.29053	-1.5
"82"	5.347	-1.5
"83"	17.97364	-1.5
"84"	10.9835	-1.5
"85"	142.93895	-1.5
"86"	16.81606	-1.5
"87"	43.36	-1.5
"88"	35.68523	-1.5
"89"	102.50198	-1.5
"90"	15.33562	-1.4
"91"	8.97395	-1.4
"92"	19.07125	-1.4
"93"	47.67393	-1.4
"94"	40.36972	-1.4
"95"	39.30481	-1.4
"96"	18.83686	-1.4
"97"	9.48347	-1.4
"98"	13.25888	-1.3
"99"	8.68447	-1.3
"100"	11.2979	-1.3
"101"	5.60469	-1.3
"102"	31.06345	-1.3
"103"	52.51936	-1.3
"104"	102.24511	-1.3
"105"	24.16813	-1.3
"106"	26.81	-1.3
"107"	28.13093	-1.3
"108"	30.457	-1.2
"109"	13.39663	-1.2
"110"	13.11378	-1.2
"111"	21.19564	-1.2
"112"	29.62383	-1.2
"113"	34.70033	-1.2
"114"	9.23905	-1.2
"115"	56.80307	-1.2
"116"	17.00596	-1.1
"117"	23.76873	-1.1
"118"	8.1055	-1.1
"119"	23.25507	-1.1
"120"	9.94602	-1.1
"121"	47.77063	-1.1
"122"	10.45126	-1.1
"123"	20.68171	-1.1
"124"	63.54905	-1.1
"125"	27.05461	-1.1
"126"	12.51391	-1
"127"	32.25001	-1
"128"	88.31499	-1
"129"	11.06908	-1
"130"	41.71484	-1
"131"	44.77763	-1
"132"	63.75428	-1
"133"	67.43241	-1
"134"	24.69227	-0.9
"135"	37.97042	-0.9
"136"	17.25264	-0.9
"137"	6.45267	-0.9
"138"	6.55044	-0.9
"139"	8.16361	-0.9
"140"	53.77227	-0.9
"141"	27.1436	-0.8
"142"	7.78386	-0.8
"143"	9.26343	-0.8
"144"	14.95658	-0.8
"145"	19.4918	-0.8
"146"	17.18826	-0.8
"147"	12.32064	-0.8
"148"	20.81033	-0.8
"149"	27.91428	-0.8
"150"	27.25179	-0.8
"151"	10.2982	-0.8
"152"	43.05866	-0.8
"153"	7.0618	-0.7
"154"	8.22066	-0.7
"155"	8.80615	-0.7
"156"	41.81207	-0.7
"157"	25.01878	-0.7
"158"	22.48659	-0.7
"159"	60.66495	-0.7
"160"	53.8427	-0.6
"161"	24.61175	-0.6
"162"	22.57206	-0.6
"163"	16.78517	-0.6
"164"	45.24279	-0.6
"165"	5.33238	-0.5
"166"	15.80497	-0.5
"167"	19.82953	-0.5
"168"	21.72506	-0.5
"169"	21.28959	-0.5
"170"	40.74341	-0.5
"171"	21.33316	-0.5
"172"	2.02202	-0.4
"173"	11.06465	-0.4
"174"	11.58759	-0.4
"175"	16.99014	-0.4
"176"	33.83506	-0.4
"177"	101.59459	-0.4
"178"	6.21422	-0.4
"179"	31.26182	-0.4
"180"	14.1123	-0.4
"181"	34.69402	-0.4
"182"	14.02694	-0.4
"183"	12.36521	-0.4
"184"	9.97037	-0.4
"185"	25.66404	-0.4
"186"	52.25014	-0.4
"187"	35.54918	-0.3
"188"	2.02202	-0.3
"189"	7.94363	-0.3
"190"	78.75759	-0.3
"191"	35.74084	-0.3
"192"	219.65925	-0.3
"193"	24.53014	-0.3
"194"	23.94948	-0.3
"195"	2.50345	-0.2
"196"	18.86203	-0.2
"197"	28.58273	-0.2
"198"	11.46705	-0.2
"199"	15.87043	-0.2
"200"	21.48835	-0.2
"201"	22.37955	-0.2
"202"	8.65755	-0.2
"203"	13.44045	-0.2
"204"	22.64433	-0.2
"205"	17.60599	-0.2
"206"	8.11866	-0.1
"207"	12.73045	-0.1
"208"	11.04907	-0.1
"209"	8.47321	-0.1
"210"	29.09296	-0.1
"211"	10.96779	-0.1
"212"	19.9348	-0.1
"213"	7.0881	-0.1
"214"	14.72593	-0.1
"215"	25.48907	-0.1
"216"	3.14536	0
"217"	4.86596	0
"218"	26.17935	0
"219"	25.31153	0
"220"	34.28451	0
"221"	45.75411	0
"222"	16.68871	0
"223"	29.90527	0
"224"	9.34436	0
"225"	8.61051	0
"226"	31.17675	0
"227"	90.33491	0
"228"	11.43338	0.1
"229"	2.95279	0.1
"230"	9.10561	0.1
"231"	30.82986	0.1
"232"	13.08433	0.1
"233"	7.74167	0.1
"234"	14.09151	0.1
"235"	20.17274	0.1
"236"	101.7895	0.1
"237"	36.23713	0.1
"238"	6.90602	0.1
"239"	16.81278	0.1
"240"	18.52338	0.1
"241"	6.34121	0.2
"242"	12.73563	0.2
"243"	31.46579	0.2
"244"	30.65482	0.2
"245"	20.50256	0.2
